StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,FanDuelSalary,DraftKingsSalary,FantasyDataSalary,YahooSalary,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPosition,DraftKingsPosition,YahooPosition,OpponentRank,OpponentPositionRank,GlobalTeamID,FantasyDraftSalary,FantasyDraftPosition,GameID,OpponentID,Opponent,Day,DateTime,HomeOrAway,IsGameOver,GlobalGameID,GlobalOpponentID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
1533523,8,20003473,1,2026,Nolan Traoré,BKN,PG,1,5257.0,4988.0,4988.0,15.0,Scrambled,Scrambled,,Scrambled,PG,PG,PG,18,15,20000008,,Scrambled,23199,5,ORL,2026-02-05T00:00:00,2026-02-05T19:00:00,AWAY,True,20023199,20000005,2026-02-08T04:00:12,1,44.6,50,77,12.7,17.5,72.5,82.9,7.3,10.9,89.9,5.5,12.7,57.8,7.3,9.1,107.8,1.8,3.6,5.5,5.2,10.0,8.8,12.7,1.8,0.0,7.3,5.5,28.3,20.5,94.4,27.9,47.4,2.3,0.0,28.1,28.8,46.0,49.5,46.0,-14.8,0.0,0.0,49.5,True,True,Scrambled
1533522,8,20003455,1,2026,Egor Demin,BKN,PG,1,6336.0,6066.0,6066.0,27.0,Scrambled,Scrambled,,Scrambled,PG/SG,PG,PG,18,34,20000008,,Scrambled,23199,5,ORL,2026-02-05T00:00:00,2026-02-05T19:00:00,AWAY,True,20023199,20000005,2026-02-08T04:00:12,1,42.9,42,77,10.8,16.2,89.9,123.6,3.6,3.6,134.8,10.9,13.5,80.9,7.3,9.1,107.8,1.8,5.5,7.3,6.2,17.9,10.4,3.6,0.0,0.0,3.6,1.8,35.0,19.1,125.2,43.7,18.4,0.0,0.0,16.6,28.8,42.9,48.5,42.9,-5.4,0.0,0.0,48.5,True,True,Scrambled
1533521,8,20002292,1,2026,Nicolas Claxton,BKN,C,1,8088.0,8492.0,8492.0,44.0,Scrambled,Scrambled,,Scrambled,C,C,C,18,18,20000008,,Scrambled,23199,5,ORL,2026-02-05T00:00:00,2026-02-05T19:00:00,AWAY,True,20023199,20000005,2026-02-08T04:00:12,1,33.3,38,67,10.9,10.8,101.1,101.1,10.9,12.7,115.5,0.0,1.8,0.0,3.6,9.1,53.9,3.6,7.3,10.9,10.2,26.4,17.3,5.5,0.0,0.0,1.8,1.8,18.9,13.7,94.4,29.9,28.0,0.0,0.0,12.0,22.1,33.3,34.4,33.3,-27.0,0.0,0.0,34.4,True,True,Scrambled
1533530,8,20003458,1,2026,Danny Wolf,BKN,C,0,6336.0,6605.0,6605.0,22.0,Scrambled,Scrambled,,Scrambled,PF/SF,PF/C,PF,18,18,20000008,,Scrambled,23199,5,ORL,2026-02-05T00:00:00,2026-02-05T19:00:00,AWAY,True,20023199,20000005,2026-02-08T04:00:12,1,32.6,28,71,9.1,14.8,61.3,73.5,7.3,12.7,77.0,1.8,7.3,33.7,3.6,7.3,67.4,1.8,9.1,10.9,9.0,43.5,22.7,3.6,0.0,1.8,1.8,3.6,17.5,17.2,67.4,26.6,25.7,0.0,8.0,13.2,35.8,34.0,34.4,34.0,1.8,0.0,0.0,34.4,True,True,Scrambled
1533520,8,20001988,1,2026,Michael Porter Jr.,BKN,SF,1,11188.0,11593.0,11593.0,54.0,Scrambled,Scrambled,,Scrambled,PF/SF,SF,SF,18,5,20000008,,Scrambled,23199,5,ORL,2026-02-05T00:00:00,2026-02-05T19:00:00,AWAY,True,20023199,20000005,2026-02-08T04:00:12,1,19.4,43,26,3.6,17.5,20.8,31.1,0.0,10.9,0.0,3.6,12.7,38.6,5.5,5.5,134.8,0.0,3.6,3.6,0.0,11.8,6.9,3.6,1.8,0.0,3.6,5.5,12.1,19.3,41.8,-0.9,12.9,2.8,0.0,16.5,28.7,20.8,22.2,20.8,-31.0,0.0,0.0,22.2,True,True,Scrambled
1533525,8,20003467,1,2026,Drake Powell,BKN,SG,0,5122.0,4314.0,4314.0,16.0,Scrambled,Scrambled,,Scrambled,SG/SF,SG/SF,SG,18,15,20000008,,Scrambled,23199,5,ORL,2026-02-05T00:00:00,2026-02-05T19:00:00,AWAY,True,20023199,20000005,2026-02-08T04:00:12,1,15.6,24,80,5.5,12.1,44.9,44.9,5.5,9.1,80.9,0.0,7.3,0.0,0.0,1.8,0.0,5.5,0.0,5.5,23.2,0.0,13.1,3.6,0.0,0.0,1.8,5.5,10.9,12.7,42.6,8.0,25.8,0.0,0.0,12.9,31.3,15.6,16.5,15.6,-2.7,0.0,0.0,16.5,True,True,Scrambled
1533527,8,20002697,1,2026,Day'Ron Sharpe,BKN,C,0,6605.0,7144.0,7144.0,27.0,Scrambled,Scrambled,,Scrambled,C,C,C,18,18,20000008,,Scrambled,23199,5,ORL,2026-02-05T00:00:00,2026-02-05T19:00:00,AWAY,True,20023199,20000005,2026-02-08T04:00:12,1,14.8,18,13,3.6,7.3,67.4,67.4,3.6,7.3,67.4,0.0,0.0,0.0,0.0,0.0,0.0,3.6,5.5,9.1,22.3,43.4,31.5,0.0,1.8,0.0,1.8,7.3,7.3,7.3,67.4,15.1,0.0,6.8,0.0,27.0,21.6,16.2,15.8,16.2,-8.1,0.0,0.0,15.8,True,True,Scrambled
1533528,8,20002656,1,2026,Ziaire Williams,BKN,SF,0,5392.0,5796.0,5796.0,22.0,Scrambled,Scrambled,,Scrambled,SF/SG,SG/SF,SF,18,5,20000008,,Scrambled,23199,5,ORL,2026-02-05T00:00:00,2026-02-05T19:00:00,AWAY,True,20023199,20000005,2026-02-08T04:00:12,1,12.7,22,80,0.0,3.6,0.0,0.0,0.0,1.8,0.0,0.0,1.8,0.0,1.8,5.5,44.9,0.0,3.6,3.6,0.0,22.4,13.2,0.0,5.5,1.8,3.6,0.0,1.8,6.0,19.3,5.4,0.0,11.7,10.3,50.7,17.8,18.1,14.2,18.1,-24.3,0.0,0.0,14.2,True,True,Scrambled
1533526,8,20003475,1,2026,Ben Saraf,BKN,PG,0,4988.0,4314.0,4314.0,16.0,Scrambled,Scrambled,,Scrambled,PG,PG,SG,18,34,20000008,,Scrambled,23199,5,ORL,2026-02-05T00:00:00,2026-02-05T19:00:00,AWAY,True,20023199,20000005,2026-02-08T04:00:12,1,11.1,22,5,1.8,7.3,33.7,33.7,1.8,5.5,44.9,0.0,1.8,0.0,3.6,5.5,89.9,0.0,1.8,1.8,0.0,11.8,7.0,7.3,0.0,0.0,5.5,5.5,7.3,9.7,49.1,-1.5,52.0,0.0,0.0,48.6,29.5,11.1,13.1,11.1,-4.0,0.0,0.0,13.1,True,True,Scrambled
1533519,8,20003046,1,2026,Noah Clowney,BKN,PF,1,6740.0,6470.0,6470.0,31.0,Scrambled,Scrambled,,Scrambled,PF,PF,PF,18,20,20000008,,Scrambled,23199,5,ORL,2026-02-05T00:00:00,2026-02-05T19:00:00,AWAY,True,20023199,20000005,2026-02-08T04:00:12,1,8.7,28,71,0.0,10.9,0.0,0.0,0.0,3.6,0.0,0.0,7.3,0.0,0.0,0.0,0.0,1.8,5.5,7.3,9.0,26.1,15.2,0.0,1.8,0.0,3.6,7.3,0.0,10.9,0.0,-16.9,0.0,4.1,0.0,33.7,20.8,10.5,10.9,10.5,-18.9,0.0,0.0,10.9,True,True,Scrambled
1533524,8,20002312,1,2026,Terance Mann,BKN,PG,0,5257.0,5122.0,5122.0,26.0,Scrambled,Scrambled,,Scrambled,SF/SG,SG/SF,SF,18,34,20000008,,Scrambled,23199,5,ORL,2026-02-05T00:00:00,2026-02-05T19:00:00,AWAY,True,20023199,20000005,2026-02-05T22:01:49,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,Scrambled
